Voltage (V),Current (A)
-1.000012,-0.002592972
-0.9487095,-0.002573885
-0.8974693,-0.002559441
-0.8461731,-0.002547003
-0.7948636,-0.002535644
-0.7436287,-0.002525064
-0.6923186,-0.002515227
-0.6410814,-0.00250711
-0.5897733,-0.00249975
-0.5384693,-0.002492675
-0.4872284,-0.00248736
-0.4359215,-0.002482947
-0.3846139,-0.002479678
-0.3333754,-0.00247581
-0.2820641,-0.002472375
-0.2307677,-0.002469768
-0.1795209,-0.002467548
-0.128214,-0.002464827
-0.07690167,-0.002463305
-0.0256562,-0.002462244
0.02562743,-0.002461167
0.0769031,-0.002459191
0.1282161,-0.002456727
0.1795212,-0.002453073
0.2307646,-0.00244793
0.2820656,-0.002440688
0.3333714,-0.002427961
0.3846096,-0.00240145
0.4359152,-0.002349089
0.4872215,-0.002259931
0.5384604,-0.002120997
0.5897647,-0.00189628
0.6410691,-0.001493205
0.6923225,-0.0007386474
0.743582,0.0006924898
0.7948281,0.003501234
0.8461118,0.009551674
0.8974462,0.02415576
0.9486603,0.06066081
0.9999834,0.1440839
