Voltage (V),Current (A)
-1.000013,-0.0001211793
-0.9487094,-0.0001049345
-0.8974636,-9.049678e-05
-0.8461667,-7.796507e-05
-0.7948602,-6.692739e-05
-0.7436251,-5.681334e-05
-0.6923156,-4.80025e-05
-0.6410803,-4.014765e-05
-0.5897717,-3.31939e-05
-0.5384697,-2.714091e-05
-0.4872321,-2.187262e-05
-0.4359251,-1.736504e-05
-0.3846168,-1.355014e-05
-0.3333806,-1.036528e-05
-0.2820586,-7.745014e-06
-0.2307643,-5.639692e-06
-0.1795218,-4.009722e-06
-0.1282153,-2.722617e-06
-0.07690345,-1.747924e-06
-0.02564837,-9.400359e-07
0.025622,-1.159205e-07
0.07686435,9.586238e-07
0.1281986,2.637687e-06
0.1794983,5.263131e-06
0.2307303,9.172596e-06
0.2820511,1.506784e-05
0.3333535,2.547656e-05
0.3845841,4.731837e-05
0.4358754,9.289033e-05
0.487206,0.0001708978
0.5384411,0.0002889298
0.5897399,0.0004707284
0.6410345,0.000783259
0.6922923,0.001345776
0.7435986,0.002371708
0.7948257,0.00425138
0.8461186,0.007871597
0.8974499,0.01514338
0.9486704,0.0301067
0.9999619,0.05988388
